date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:12:32	5690/5690	---M-Z	200	added ('OK')	text/html	etag:%22163a-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html	(from )
16:12:33	153/153	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Dec%202024%2015:12:32%20GMT	https://archives.uness.fr/robots.txt		(from )
16:12:33	4974/4974	---M-Z	200	added ('OK')	text/css	etag:%22136e-4f0285992e5c0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/css/style.css	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/css/style.css	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:36	78601/78601	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.4/jquery.min.js	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/ajax.googleapis.com/ajax/libs/jquery/1.4/jquery.min.js	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:36	251/251	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2029%20Dec%202024%2015:12:34%20GMT	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/jquery-1.4.3.min.js	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/jquery-1.4.3.min.3.delayed	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:36	1279/1279	---M-Z	200	added ('OK')	application/javascript	etag:%224ff-4f0285992e5c0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/fancybox/jquery.mousewheel-3.0.4.pack.js	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/fancybox/jquery.mousewheel-3.0.4.pack.js	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:37	15624/15624	---M-Z	200	added ('OK')	application/javascript	etag:%223d08-4f0285992e5c0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/fancybox/jquery.fancybox-1.3.4.pack.js	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/fancybox/jquery.fancybox-1.3.4.pack.js	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:37	8744/8744	---M-Z	200	added ('OK')	text/css	etag:%222228-4f0285992e5c0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/fancybox/jquery.fancybox-1.3.4.css	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/fancybox/jquery.fancybox-1.3.4.css	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:38	6409/6409	---M-Z	200	added ('OK')	text/html	etag:%221909-4f0285955dcc0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:38	21636/21636	---M-Z	200	added ('OK')	text/html	etag:%225484-4f02859375840-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:39	4186/4186	---M-Z	200	added ('OK')	text/html	etag:%22105a-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/conclusion.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/conclusion.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:39	4184/4184	---M-Z	200	added ('OK')	text/html	etag:%221058-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/contact.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/contact.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/index.html)
16:12:40	113/113	---M--	200	added ('OK')	image/gif	etag:%2271-4f0285992e5c0%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/images/arr54.gif	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/images/arr54.gif	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html)
16:12:40	13322/13322	---M-Z	200	added ('OK')	text/html	etag:%22340a-4f0285955dcc0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tptpc.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tptpc.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html)
16:12:41	65/65	---M--	200	added ('OK')	image/gif	etag:%2241-4f0285992e5c0%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/images/arr6.gif	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/images/arr6.gif	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html)
16:12:41	7250/7250	---M-Z	200	added ('OK')	text/html	etag:%221c52-4f0285955dcc0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tptm.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tptm.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html)
16:12:42	5877/5877	---M-Z	200	added ('OK')	text/html	etag:%2216f5-4f0285955dcc0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tpbt.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tpbt.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html)
16:12:42	5570/5570	---M-Z	200	added ('OK')	text/html	etag:%2215c2-4f0285955dcc0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tppc.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/tppc.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html)
16:12:43	8661/8661	---M-Z	200	added ('OK')	text/html	etag:%2221d5-4f0285955dcc0-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/text.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/text.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/sommaire.html)
16:12:43	120/120	---M--	200	added ('OK')	image/gif	etag:%2278-4f0285992e5c0%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/images/3.gif	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/images/3.gif	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:44	5493/5493	---M-Z	200	added ('OK')	text/html	etag:%221575-4f02859375840-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc1.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc1.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:44	5663/5663	---M-Z	200	added ('OK')	text/html	etag:%22161f-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc2.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc2.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:44	5419/5419	---M-Z	200	added ('OK')	text/html	etag:%22152b-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc3.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc3.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:45	5260/5260	---M-Z	200	added ('OK')	text/html	etag:%22148c-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc4.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc4.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:45	5707/5707	---M-Z	200	added ('OK')	text/html	etag:%22164b-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc5.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc5.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:46	5735/5735	---M-Z	200	added ('OK')	text/html	etag:%221667-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc6.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc6.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:46	5848/5848	---M-Z	200	added ('OK')	text/html	etag:%2216d8-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc7.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc7.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:47	6270/6270	---M-Z	200	added ('OK')	text/html	etag:%22187e-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc8.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc8.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:47	5454/5454	---M-Z	200	added ('OK')	text/html	etag:%22154e-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc9.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc9.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:48	5561/5561	---M-Z	200	added ('OK')	text/html	etag:%2215b9-4f02859375840-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc10.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc10.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:48	5331/5331	---M-Z	200	added ('OK')	text/html	etag:%2214d3-4f02859375840-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc11.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc11.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:49	5524/5524	---M-Z	200	added ('OK')	text/html	etag:%221594-4f02859375840-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc12.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc12.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:49	5463/5463	---M-Z	200	added ('OK')	text/html	etag:%221557-4f02859375840-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc13.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc13.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:50	5309/5309	---M-Z	200	added ('OK')	text/html	etag:%2214bd-4f02859375840-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc14.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc14.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:50	5547/5547	---M-Z	200	added ('OK')	text/html	etag:%2215ab-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc15.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc15.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:51	5475/5475	---M-Z	200	added ('OK')	text/html	etag:%221563-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc16.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc16.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:51	5621/5621	---M-Z	200	added ('OK')	text/html	etag:%2215f5-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc17.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc17.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:52	5348/5348	---M-Z	200	added ('OK')	text/html	etag:%2214e4-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc18.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc18.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:52	6337/6337	---M-Z	200	added ('OK')	text/html	etag:%2218c1-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc19.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc19.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:53	5571/5571	---M-Z	200	added ('OK')	text/html	etag:%2215c3-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc20.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc20.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:53	5238/5238	---M-Z	200	added ('OK')	text/html	etag:%221476-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc21.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc21.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:54	5250/5250	---M-Z	200	added ('OK')	text/html	etag:%221482-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc22.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc22.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:54	5742/5742	---M-Z	200	added ('OK')	text/html	etag:%22166e-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc23.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc23.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:55	6096/6096	---M-Z	200	added ('OK')	text/html	etag:%2217d0-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc24.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc24.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:55	5394/5394	---M-Z	200	added ('OK')	text/html	etag:%221512-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc25.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc25.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:56	6161/6161	---M-Z	200	added ('OK')	text/html	etag:%221811-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc26.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc26.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:56	5225/5225	---M-Z	200	added ('OK')	text/html	etag:%221469-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc27.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc27.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:57	5493/5493	---M-Z	200	added ('OK')	text/html	etag:%221575-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc28.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc28.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:57	5854/5854	---M-Z	200	added ('OK')	text/html	etag:%2216de-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc29.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc29.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:58	5586/5586	---M-Z	200	added ('OK')	text/html	etag:%2215d2-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc30.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc30.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:58	5308/5308	---M-Z	200	added ('OK')	text/html	etag:%2214bc-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc31.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc31.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:59	6370/6370	---M-Z	200	added ('OK')	text/html	etag:%2218e2-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc32.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc32.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
16:12:59	5630/5630	---M-Z	200	added ('OK')	text/html	etag:%2215fe-4f02859469a80-gzip%22	https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc33.html	C:/Users/Mohamed-Aymane/Desktop/Module%20d'apprentissage%20en%20pneumologie%20-%20Tuberculose%20thoracique%20(FMPM)/archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc33.html	(from https://archives.uness.fr/sites/umvf/media/ressPneumo/M1127/cc.html)
